Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
011D2584	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Inkay Ink x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Rare Candy x1 	PP Up x1 	Spicy Herba Mystica x1 	Poison Tera Shard x1 	Ability Capsule x1 	Inkay Ink x2 	Sour Herba Mystica x1 									Malamar (5☆) (Star)	0	18687364	
0135DE02	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	PP Up x1 	Pomeg Berry x3 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 	Rare Candy x1 	Nugget x1 	Exp. Candy L x1 									Lapras (5☆) (Star)	0	20307458	
0148A486	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Health Feather x2 	Horsea Ink x2 	Fighting Tera Shard x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Horsea Ink x2 	Bitter Herba Mystica x1 	Rare Candy x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 									Kingdra (5☆) (Star)	0	21537926	
01583E71	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x1 	Ability Capsule x1 	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x2 										Lapras (5☆) (Star)	0	22560369	
015D23F6	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fairy Tera Shard x2 	Fairy Tera Shard x2 (H)	Salty Herba Mystica x1 	Bottle Cap x1 	Health Feather x2 	Bitter Herba Mystica x1 	Health Feather x2 	Pomeg Berry x3 	Exp. Candy L x2 	Pomeg Berry x3 	Bitter Herba Mystica x1 										Malamar (5☆) (Star)	0	22881270	
018376F1	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x2 	Exp. Candy L x2 	PP Up x1 	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 	Health Feather x2 	Sour Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 										Kingdra (5☆) (Star)	0	25392881	
018A5100	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Pomeg Berry x3 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Sweet Herba Mystica x1 	Salty Herba Mystica x1 	PP Up x1 	Lapras Teardrop x2 	Exp. Candy L x2 									Lapras (5☆) (Star)	0	25841920	
0196C197	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	PP Up x1 	PP Up x1 	Pomeg Berry x3 	Sweet Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Health Feather x2 	Sweet Herba Mystica x1 	Salty Herba Mystica x1 										Lapras (5☆) (Star)	0	26657175	
01991E6C	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	PP Up x1 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Health Feather x2 	Salty Herba Mystica x1 	Balm Mushroom x1 	Bitter Herba Mystica x1 										Lapras (5☆) (Square)	0	26812012	
01AB45EE	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sweet Herba Mystica x1 	Rare Candy x1 	Exp. Candy L x1 	PP Up x1 	Sour Herba Mystica x1 	Ability Capsule x1 	Lapras Teardrop x2 	Sour Herba Mystica x1 	Nugget x1 										Lapras (5☆) (Star)	0	28001774	
01AF617E	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Inkay Ink x2 	Sour Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 										Malamar (5☆) (Star)	0	28270974	
01BCD890	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Exp. Candy L x2 	Exp. Candy L x2 	Sour Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Exp. Candy L x1 										Kingdra (5☆) (Star)	0	29153424	
01D3ADF1	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Big Mushroom x1 	Exp. Candy L x2 	PP Up x1 	Bitter Herba Mystica x1 	Spicy Herba Mystica x1 	Rare Candy x1 	Bitter Herba Mystica x1 	Rare Candy x1 	Exp. Candy L x1 										Malamar (5☆) (Star)	0	30649841	
01E529F1	Exp. Candy L x1 	Exp. Candy XL x1 	Elekid Fur x5 	Muscle Feather x3 	Elekid Fur x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Nugget x1 	Adamant Mint x1 	Spicy Herba Mystica x1 	Kelpsy Berry x3 	Nugget x1 	Rare Candy x1 										Electivire (5☆) (Star)	0	31795697	
020B0C12	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Inkay Ink x2 	Salty Herba Mystica x1 	Sour Herba Mystica x1 	Inkay Ink x2 	Sweet Herba Mystica x1 	Health Feather x2 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 										Malamar (5☆) (Star)	0	34278418	
021C4975	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Health Feather x2 	Dark Tera Shard x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Horsea Ink x2 	Salty Herba Mystica x1 										Kingdra (5☆) (Star)	0	35408245	
022E2DFC	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Salty Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Rare Candy x1 	Inkay Ink x2 	Salty Herba Mystica x1 	Ability Capsule x1 										Malamar (5☆) (Star)	0	36580860	
022F2A00	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 	Big Mushroom x1 	Health Feather x2 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Sour Herba Mystica x1 	Spicy Herba Mystica x1 									Lapras (5☆) (Star)	0	36645376	
022FDDF9	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Inkay Ink x2 	Big Mushroom x1 	Sour Herba Mystica x1 	Sweet Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	PP Up x1 	Exp. Candy L x2 	Sour Herba Mystica x1 										Malamar (5☆) (Star)	0	36691449	
023B969B	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Ground Tera Shard x2 	Ground Tera Shard x2 (H)	Sweet Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Sweet Herba Mystica x1 	PP Up x1 	Sweet Herba Mystica x1 	Health Feather x2 										Lapras (5☆) (Star)	0	37459611	
023FDDF3	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	Inkay Ink x2 	Sour Herba Mystica x1 	Sweet Herba Mystica x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Exp. Candy L x1 	Pomeg Berry x3 	Inkay Ink x2 	Exp. Candy L x2 										Malamar (5☆) (Star)	0	37740019	
02501D82	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Inkay Ink x2 	Salty Herba Mystica x1 	Inkay Ink x2 	Spicy Herba Mystica x1 	Electric Tera Shard x1 	Pomeg Berry x3 	Big Mushroom x1 	Exp. Candy L x1 	Big Mushroom x1 	Sour Herba Mystica x1 									Malamar (5☆) (Star)	0	38804866	
0251ADFE	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Health Feather x2 	Inkay Ink x2 	Exp. Candy L x1 	Sour Herba Mystica x1 	Inkay Ink x2 	Fire Tera Shard x1 	Spicy Herba Mystica x1 	Big Mushroom x1 	Bitter Herba Mystica x1 										Malamar (5☆) (Star)	0	38907390	
02571519	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Big Mushroom x1 	Bug Tera Shard x1 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 									Kingdra (5☆) (Star)	0	39261465	
025EB783	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Exp. Candy L x2 	Inkay Ink x2 	Fighting Tera Shard x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Rare Candy x1 	Health Feather x2 	Spicy Herba Mystica x1 	Fighting Tera Shard x1 									Malamar (5☆) (Star)	0	39761795	
02645003	Exp. Candy L x1 	Exp. Candy XL x1 	Tyrogue Sweat x5 	Muscle Feather x3 	Tyrogue Sweat x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Comet Shard x1 	Kelpsy Berry x3 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Bottle Cap x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Muscle Feather x2 									Hitmonlee (5☆) (Star)	0	40128515	
0272BE7F	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Exp. Candy L x1 	Lapras Teardrop x2 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Steel Tera Shard x1 	Sweet Herba Mystica x1 	Balm Mushroom x1 	Big Mushroom x1 									Lapras (5☆) (Star)	0	41074303	
0279E480	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Big Mushroom x1 	Balm Mushroom x1 	Sour Herba Mystica x1 	Bug Tera Shard x1 	Pomeg Berry x3 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Nugget x1 	Salty Herba Mystica x1 	Exp. Candy L x1 									Malamar (5☆) (Star)	0	41542784	
02810505	Exp. Candy L x1 	Exp. Candy XL x1 	Material x5 	Clever Feather x3 	Material x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Sour Herba Mystica x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Pearl String x1 	Material x2 	Rare Candy x1 	Exp. Candy L x1 	PP Up x1 	Big Pearl x1 	Sour Herba Mystica x1 									Alcremie (5☆) (Star)	0	42009861	
02845585	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Sour Herba Mystica x1 	Big Mushroom x1 	Ability Capsule x1 	Exp. Candy L x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 									Kingdra (5☆) (Star)	0	42227077	
029FEE01	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Nugget x1 	Rare Candy x1 	Exp. Candy L x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 									Lapras (5☆) (Star)	0	44035585	
02ACA486	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Exp. Candy L x2 	Inkay Ink x2 	Exp. Candy L x1 	Exp. Candy L x2 	Big Mushroom x1 	Sweet Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 	Salty Herba Mystica x1 	Sour Herba Mystica x1 									Malamar (5☆) (Star)	0	44868742	
02AFCDFC	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Big Mushroom x1 	Sour Herba Mystica x1 	Pomeg Berry x3 	Rare Candy x1 	Bitter Herba Mystica x1 	Spicy Herba Mystica x1 	Grass Tera Shard x1 	Exp. Candy L x1 	Exp. Candy L x1 										Malamar (5☆) (Star)	0	45075964	
02B3D97A	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Sour Herba Mystica x1 	Sweet Herba Mystica x1 	Horsea Ink x2 	Pomeg Berry x3 	PP Up x1 	Health Feather x2 	Big Mushroom x1 	Salty Herba Mystica x1 	Exp. Candy L x1 										Kingdra (5☆) (Star)	0	45341050	
02B81978	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Sour Herba Mystica x1 	Horsea Ink x2 	Sweet Herba Mystica x1 	Exp. Candy L x2 	Pomeg Berry x3 	Pomeg Berry x3 	Big Mushroom x1 	Balm Mushroom x1 	Spicy Herba Mystica x1 										Kingdra (5☆) (Star)	0	45619576	
02BDADF7	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 	Rare Candy x1 	Big Mushroom x1 	Bitter Herba Mystica x1 	Nugget x1 	Inkay Ink x2 	Bottle Cap x1 										Malamar (5☆) (Star)	0	45985271	
02C2AD85	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Big Mushroom x1 									Malamar (5☆) (Star)	0	46312837	
02C3597F	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Sour Herba Mystica x1 	Steel Tera Shard x1 	Exp. Candy L x1 	Big Mushroom x1 	Exp. Candy L x1 	Exp. Candy L x2 	Big Mushroom x1 	Exp. Candy L x2 	Salty Herba Mystica x1 	Sour Herba Mystica x1 									Kingdra (5☆) (Star)	0	46356863	
02CD5780	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Inkay Ink x2 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Rare Candy x1 	Pomeg Berry x3 	Rare Candy x1 	Sweet Herba Mystica x1 									Malamar (5☆) (Star)	0	47011712	
02D4AE75	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	Lapras Teardrop x2 	Bottle Cap x1 	Big Mushroom x1 	Sweet Herba Mystica x1 	Sour Herba Mystica x1 	Rare Candy x1 	Salty Herba Mystica x1 										Lapras (5☆) (Star)	0	47492725	
