Seed	Shiny	Stars	Species	Level	TeraType	EC	PID	HP	ATK	DEF	SPA	SPD	SPE	Ability	Nature	Gender	Height	Weight	Scale	Move1	Move2	Move3	Move4	EventIndex	Calcs	
00028CBB	Star	3	Gurdurr	35	Ground	229FF716	685BCE9A	18	31	4	31	31	18	Iron Fist (H)	Lax	♂	48	88	93	Low Kick	Rock Slide	Scary Face	Slam	0	167099	
00029AB8	Star	3	Sandshrew-Normal	35	Ghost	22A00513	0F1CA9DD	31	31	16	24	27	14	Sand Veil (1)	Hasty	♀	65	40	194	Flail	Bulldoze	Slash	Sandstorm	0	170680	
0002A26D	Star	5	Vikavolt	75	Steel	22A00CC8	82DC241D	6	31	31	22	31	31	Levitate (1)	Jolly	♀	101	230	140	Discharge	Bug Buzz	Solar Beam	Zap Cannon	0	172653	
0002A4DF	Star	4	Illumise	45	Steel	22A00F3A	D5BC737D	31	30	31	31	1	18	Oblivious (1)	Mild	♀	7	186	122	Bug Buzz	Giga Drain	Quick Attack	Attract	0	173279	
0002EAF6	Star	5	Milotic	75	Fairy	22A05551	A9590F98	31	6	10	31	31	31	Cute Charm (H)	Adamant	♀	54	7	138	Chilling Water	Surf	Dragon Pulse	Attract	0	191222	
00033298	Star	4	Ribombee	45	Ghost	22A09CF3	11ECB72D	31	31	31	5	5	23	Shield Dust (2)	Sassy	♀	85	99	56	Pollen Puff	Moonblast	Bug Buzz	Stun Spore	0	209560	
00033545	Star	4	Dipplin	45	Normal	22A09FA0	A13607F7	31	31	19	30	30	31	Supersweet Syrup (1)	Calm	♂	84	130	78	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	210245	
00034558	Star	4	Magcargo	45	Ghost	22A0AFB3	5736F1F7	9	31	21	31	13	31	Magma Armor (1)	Docile	♀	164	193	121	Flamethrower	Rock Tomb	Harden	Rock Slide	0	214360	
0003485C	Star	4	Graveler-Normal	45	Grass	22A0B2B7	4355E594	31	26	24	31	27	31	Sand Veil (H)	Careful	♂	104	171	27	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	215132	
0003510F	Star	4	Graveler-Normal	45	Water	22A0BB6A	A16907A8	22	16	31	5	31	31	Sturdy (2)	Sassy	♂	74	128	99	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	217359	
000359C0	Star	3	Munchlax	35	Dragon	22A0C41B	E43E42FF	12	31	31	18	31	3	Pickup (1)	Lax	♂	148	80	166	Bite	Covet	Flail	Defense Curl	0	219584	
00037AA5	Star	3	Munchlax	35	Normal	22A0E500	74C3D202	31	25	31	28	25	24	Pickup (1)	Sassy	♂	130	116	219	Bite	Covet	Flail	Defense Curl	0	228005	
0003B626	Star	3	Noctowl	35	Fighting	22A12081	843B22FA	31	19	24	31	2	3	Insomnia (1)	Modest	♂	110	184	153	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	243238	
0003BD26	Star	3	Swadloon	35	Fighting	22A12781	8DD82B19	11	26	31	27	31	22	Overcoat (H)	Hasty	♂	134	91	142	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	245030	
0003C1DD	Star	4	Ariados	45	Water	22A12C38	D73371F2	2	21	31	8	31	31	Sniper (H)	Adamant	♂	10	177	155	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	246237	
0003CA8E	Star	3	Chingling	35	Fire	22A134E9	0ACDAC0C	22	3	16	31	9	31	Levitate (1)	Brave	♀	110	123	166	Confusion	Yawn	Last Resort	Uproar	0	248462	
0003CFF7	Square	5	Milotic	75	Dark	22A13A52	B5DC131C	31	31	31	27	31	31	Competitive (2)	Brave	♀	84	109	194	Chilling Water	Surf	Dragon Pulse	Attract	0	249847	
0003D83C	Star	3	Sandshrew-Normal	35	Grass	22A14297	4513E3D2	12	31	31	9	16	28	Sand Veil (1)	Naughty	♀	201	201	111	Flail	Bulldoze	Slash	Sandstorm	0	251964	
0003D88A	Star	5	Shiftry	75	Rock	22A142E5	2A8F8C4E	14	16	31	31	31	31	Wind Rider (2)	Serious	♂	36	118	94	Fake Out	Sucker Punch	Leaf Blade	Extrasensory	0	252042	
00040C6E	Star	5	Dusknoir	75	Fire	22A176C9	6FD4C915	16	31	31	16	31	31	Frisk (H)	Naive	♂	114	5	113	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	265326	
00041FD0	Star	4	Dusclops	45	Grass	22A18A2B	FBF35D32	31	29	31	31	4	14	Frisk (H)	Hasty	♂	149	226	134	Shadow Punch	Will-O-Wisp	Hex	Dark Pulse	0	270288	
00044128	Star	3	Lombre	35	Poison	22A1AB83	AB2F0DEE	6	10	31	31	21	23	Own Tempo (H)	Bashful	♀	173	214	85	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	278824	
00044259	Star	4	Hakamo-o	45	Bug	22A1ACB4	7630D0F1	31	23	12	31	3	31	Soundproof (2)	Hasty	♂	106	47	108	Dragon Claw	Screech	Close Combat	Metal Claw	0	279129	
000467E5	Star	4	Clefable	45	Normal	22A1D240	A6C10000	10	23	31	31	17	31	Cute Charm (1)	Quiet	♀	37	199	148	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	288741	
00047A99	Star	5	Golem-Normal	75	Bug	22A1E4F4	4411E2D0	31	31	31	31	9	29	Sand Veil (H)	Sassy	♂	85	52	215	Earthquake	Stone Edge	Heavy Slam	Defense Curl	0	293529	
00048D34	Star	3	Swadloon	35	Dragon	22A1F78F	D6517090	26	8	5	31	31	19	Leaf Guard (1)	Jolly	♂	82	145	136	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	298292	
00049853	Star	4	Graveler-Normal	45	Ice	22A202AE	7114D7D5	31	27	31	4	31	13	Sand Veil (H)	Calm	♂	93	40	203	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	301139	
00052B28	Star	3	Clefairy	35	Poison	22A29583	69C5CF04	26	31	31	19	1	18	Cute Charm (1)	Impish	♀	90	216	23	Meteor Mash	Dazzling Gleam	Encore	Charm	0	338728	
00055099	Star	4	Leavanny	45	Bug	22A2BAF4	076BA1AA	31	22	4	31	12	31	Chlorophyll (2)	Hasty	♂	90	134	150	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	348313	
0005643C	Star	3	Mienfoo	35	Grass	22A2CE97	E0BC467D	13	10	31	31	16	9	Inner Focus (1)	Brave	♀	146	111	116	Force Palm	Fake Out	Knock Off	Feint	0	353340	
0005805E	Star	4	Mightyena	45	Fire	22A2EAB9	482EEEEF	4	31	31	29	31	29	Quick Feet (2)	Docile	♀	129	172	68	Crunch	Play Rough	Howl	Take Down	0	360542	
00058E47	Star	4	Mightyena	45	Flying	22A2F8A2	7D69DBA8	31	9	15	31	31	14	Moxie (H)	Adamant	♂	187	42	79	Crunch	Play Rough	Howl	Take Down	0	364103	
00058F2E	Star	3	Nuzleaf	35	Fire	22A2F989	905F369E	6	31	8	31	7	18	Chlorophyll (1)	Mild	♂	129	147	183	Razor Leaf	Take Down	Fake Out	Payback	0	364334	
0005BF16	Star	5	Victreebel	75	Fairy	22A32971	8E1428D5	6	31	25	31	31	31	Chlorophyll (1)	Jolly	♂	30	165	65	Sludge Bomb	Power Whip	Acid Spray	Trailblaze	0	376598	
0005DAB0	Star	3	Noctowl	35	Grass	22A3450B	1406B2C7	9	19	7	31	31	4	Keen Eye (2)	Serious	♂	148	210	141	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	383664	
0005F9D4	Star	4	Magcargo	45	Dragon	22A3642F	C1826743	7	2	31	31	16	31	Magma Armor (1)	Gentle	♂	194	201	221	Flamethrower	Rock Tomb	Harden	Rock Slide	0	391636	
000601C7	Star	4	Piloswine	45	Flying	22A36C22	C46962A8	31	31	23	5	2	31	Thick Fat (H)	Bold	♀	193	209	172	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	393671	
00061912	Star	5	Ludicolo	75	Psychic	22A3836D	859B235A	31	24	1	31	31	31	Rain Dish (2)	Serious	♂	168	67	115	Energy Ball	Surf	Fake Out	Trailblaze	0	399634	
00069646	Star	4	Graveler-Normal	45	Fighting	22A400A1	7884DE45	1	31	24	31	31	21	Sand Veil (H)	Quiet	♂	158	58	214	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	431686	
0006A85B	Star	4	Graveler-Normal	45	Ground	22A412B6	40CFE60E	16	16	31	31	14	31	Sand Veil (H)	Hardy	♀	100	151	118	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	436315	
0006B5E4	Star	4	Ribombee	45	Poison	22A4203F	DD367BF7	7	25	31	22	31	31	Shield Dust (2)	Impish	♀	115	23	140	Pollen Puff	Moonblast	Bug Buzz	Stun Spore	0	439780	
0006CC2A	Star	3	Chingling	35	Rock	22A43685	675EC19F	31	31	13	11	1	22	Levitate (1)	Brave	♂	157	164	135	Confusion	Yawn	Last Resort	Uproar	0	445482	
0006D15B	Star	4	Dipplin	45	Ground	22A43BB6	4EE2E823	22	31	24	31	5	31	Sticky Hold (H)	Hasty	♀	111	129	116	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	446811	
0006E806	Star	5	Politoed	75	Fighting	22A45261	F48B524A	31	0	31	11	31	31	Drizzle (H)	Impish	♀	55	154	34	Surf	Hyper Voice	Weather Ball	Encore	0	452614	
0006EB98	Star	4	Piloswine	45	Ghost	22A455F3	815E279F	31	31	23	29	31	3	Oblivious (1)	Relaxed	♂	158	162	85	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	453528	
0006ECAF	Star	3	Gurdurr	35	Water	22A4570A	54D1F210	31	28	31	0	11	31	Iron Fist (H)	Calm	♂	61	131	184	Low Kick	Rock Slide	Scary Face	Slam	0	453807	
000730D2	Star	4	Ariados	45	Psychic	22A49B2D	C77961B8	31	31	31	9	1	26	Insomnia (2)	Bold	♂	241	110	136	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	471250	
00076120	Star	4	Magcargo	45	Fire	22A4CB7B	D4D77216	13	31	5	17	31	31	Magma Armor (1)	Relaxed	♀	182	111	118	Flamethrower	Rock Tomb	Harden	Rock Slide	0	483616	
00076FEF	Star	5	Milotic	75	Water	22A4DA4A	98563E97	0	31	10	31	31	31	Competitive (2)	Docile	♂	194	68	202	Chilling Water	Surf	Dragon Pulse	Attract	0	487407	
00078507	Star	5	Mienshao	75	Flying	22A4EF62	B37E15BF	27	31	31	31	31	0	Reckless (H)	Brave	♀	81	171	39	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	492807	
0007974D	Star	4	Carbink	45	Steel	22A501A8	7FFFD93E	31	0	28	31	31	27	Sturdy (H)	Rash	-	100	181	115	Power Gem	Moonblast	Stone Edge	Light Screen	0	497485	
00079A41	Star	3	Clefairy	35	Flying	22A5049C	4B23EDE2	30	0	11	31	31	3	Cute Charm (1)	Lax	♂	178	48	238	Meteor Mash	Dazzling Gleam	Encore	Charm	0	498241	
0007A950	Star	4	Ariados	45	Grass	22A513AB	47D6E117	31	31	31	19	7	31	Insomnia (2)	Naughty	♀	232	202	184	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	502096	
0007AE4E	Star	4	Piloswine	45	Fire	22A518A9	BDA51B64	31	31	25	20	31	21	Thick Fat (H)	Bold	♂	56	58	74	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	503374	
0007B83B	Square	3	Sandshrew-Normal	35	Ground	22A52296	92833443	31	27	12	31	14	10	Sand Veil (1)	Lax	♂	83	197	39	Flail	Bulldoze	Slash	Sandstorm	0	505915	
0007C1A2	Star	3	Mienfoo	35	Dark	22A52BFD	1059B698	31	28	16	31	21	26	Reckless (H)	Bashful	♂	95	77	201	Force Palm	Fake Out	Knock Off	Feint	0	508322	
0007F1BC	Star	3	Ekans	35	Grass	22A55C17	266080A1	11	11	31	31	18	10	Shed Skin (2)	Bold	♂	160	53	107	Acid Spray	Sludge Bomb	Sucker Punch	Spite	0	520636	
0007FE80	Star	5	Ludicolo	75	Psychic	22A568DB	FCD65A17	31	31	31	2	4	31	Own Tempo (H)	Docile	♂	76	82	86	Energy Ball	Surf	Fake Out	Trailblaze	0	523904	
000831C7	Star	4	Piloswine	45	Flying	22A59C22	0C21AAE0	31	29	31	27	22	31	Oblivious (1)	Quiet	♂	182	129	55	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	537031	
000876D2	Star	4	Graveler-Normal	45	Psychic	22A5E12D	9C4C3A8D	16	20	15	31	31	31	Sturdy (2)	Sassy	♂	136	114	71	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	554706	
0008899D	Star	3	Gurdurr	35	Water	22A5F3F8	34DB921A	31	31	5	0	8	31	Iron Fist (H)	Lax	♂	131	146	62	Low Kick	Rock Slide	Scary Face	Slam	0	559517	
00089C77	Star	5	Dusknoir	75	Dark	22A606D2	4A70ECB1	12	31	31	31	6	31	Frisk (H)	Relaxed	♂	151	195	209	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	564343	
0008A829	Star	3	Sandshrew-Normal	35	Ground	22A61284	78A1DE60	31	8	0	31	26	21	Sand Veil (1)	Hardy	♂	72	157	63	Flail	Bulldoze	Slash	Sandstorm	0	567337	
0008B645	Star	4	Carbink	45	Normal	22A620A0	933F35FE	31	31	16	16	7	31	Sturdy (H)	Relaxed	-	198	165	55	Power Gem	Moonblast	Stone Edge	Light Screen	0	570949	
0008CA5F	Star	4	Graveler-Normal	45	Steel	22A634BA	764DD08C	31	31	19	0	31	4	Sturdy (2)	Quiet	♀	69	119	156	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	576095	
0008E14C	Star	4	Clefable	45	Ghost	22A64BA7	169FB05E	31	31	10	22	31	20	Cute Charm (1)	Calm	♀	156	209	150	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	581964	
0008F854	Star	4	Graveler-Normal	45	Dragon	22A662AF	6E87C846	31	24	28	31	31	13	Sand Veil (H)	Calm	♀	100	21	126	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	587860	
00090C10	Star	3	Munchlax	35	Grass	22A6766B	B5D41315	19	31	6	21	31	23	Gluttony (H)	Timid	♀	199	87	17	Bite	Covet	Flail	Defense Curl	0	592912	
00091586	Star	5	Politoed	75	Fighting	22A67FE1	09B5AF74	31	4	31	5	31	31	Damp (2)	Adamant	♀	216	19	156	Surf	Hyper Voice	Weather Ball	Encore	0	595334	
00091B60	Star	4	Hakamo-o	45	Fairy	22A685BB	9F903951	7	31	4	31	31	5	Soundproof (2)	Quirky	♀	215	55	137	Dragon Claw	Screech	Close Combat	Metal Claw	0	596832	
00092797	Star	5	Snorlax	75	Dark	22A691F2	B9061FC7	31	1	31	31	4	31	Thick Fat (2)	Jolly	♂	106	226	60	Body Slam	Heavy Slam	Bite	Mud-Slap	0	599959	
0009CEFF	Star	5	Ludicolo	75	Steel	22A7395A	93BE357F	20	31	31	31	31	27	Own Tempo (H)	Careful	♀	150	192	136	Energy Ball	Surf	Fake Out	Trailblaze	0	642815	
0009DB2E	Star	3	Clefairy	35	Fire	22A74589	7F69D9A8	31	29	5	22	10	31	Cute Charm (1)	Sassy	♀	233	159	100	Meteor Mash	Dazzling Gleam	Encore	Charm	0	645934	
000A0623	Star	3	Lombre	35	Electric	22A7707E	D50D73CC	14	31	31	1	26	31	Own Tempo (H)	Naughty	♂	115	154	131	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	656931	
000A20E3	Star	4	Hakamo-o	45	Normal	22A78B3E	2B218DE0	25	31	11	31	31	3	Bulletproof (1)	Naughty	♂	205	95	149	Dragon Claw	Screech	Close Combat	Metal Claw	0	663779	
000A384B	Star	4	Graveler-Normal	45	Bug	22A7A2A6	82BB247A	31	31	30	6	3	31	Sand Veil (H)	Serious	♂	155	115	138	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	669771	
000A476B	Star	4	Crawdaunt	45	Bug	22A7B1C6	6C72CAB3	31	12	16	11	31	31	Hyper Cutter (1)	Naughty	♂	154	97	169	Knock Off	Crabhammer	Aqua Jet	Taunt	0	673643	
000A8DC1	Star	3	Swadloon	35	Fairy	22A7F81C	C0506691	20	15	31	8	31	28	Chlorophyll (2)	Serious	♂	100	164	94	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	691649	
000ABE2A	Star	3	Noctowl	35	Rock	22A82885	BC1C1ADD	31	21	31	28	16	29	Keen Eye (2)	Hardy	♂	116	122	85	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	704042	
000AC9E9	Star	4	Magcargo	45	Ground	22A83444	EF3749F6	25	19	31	31	26	31	Flame Body (2)	Impish	♂	184	90	89	Flamethrower	Rock Tomb	Harden	Rock Slide	0	707049	
000ACE35	Star	3	Noctowl	35	Dark	22A83890	5A2EFCEF	31	31	7	9	9	15	Keen Eye (2)	Gentle	♀	64	115	157	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	708149	
000ADEAD	Star	3	Lombre	35	Steel	22A84908	ED994B58	27	17	20	31	31	17	Own Tempo (H)	Hardy	♂	168	132	71	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	712365	
000AEA17	Star	3	Nuzleaf	35	Dark	22A85472	2A4C8C8D	5	14	31	31	13	4	Early Bird (2)	Calm	♂	100	85	129	Razor Leaf	Take Down	Fake Out	Payback	0	715287	
000B0E4E	Star	4	Piloswine	45	Fire	22A878A9	4E15E8D4	22	12	31	31	15	31	Oblivious (1)	Naive	♀	149	136	156	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	724558	
000B3051	Star	4	Crawdaunt	45	Electric	22A89AAC	7564D3A5	6	28	31	31	11	31	Hyper Cutter (1)	Naive	♀	152	107	102	Knock Off	Crabhammer	Aqua Jet	Taunt	0	733265	
000B7912	Star	4	Hakamo-o	45	Psychic	22A8E36D	B9021FC3	0	31	30	31	31	16	Overcoat (H)	Quirky	♂	38	126	129	Dragon Claw	Screech	Close Combat	Metal Claw	0	751890	
000B9867	Star	4	Furret	45	Flying	22A902C2	AEBD087C	2	31	31	17	5	31	Run Away (1)	Serious	♀	138	125	86	Take Down	Flamethrower	Sucker Punch	Charm	0	759911	
000B9BB2	Star	3	Ekans	35	Psychic	22A9060D	171AB1DB	31	31	1	31	9	7	Shed Skin (2)	Quirky	♂	223	165	201	Acid Spray	Sludge Bomb	Sucker Punch	Spite	0	760754	
000BA46B	Star	4	Magcargo	45	Bug	22A90EC6	A4C70206	14	31	31	31	8	12	Weak Armor (H)	Adamant	♂	148	193	170	Flamethrower	Rock Tomb	Harden	Rock Slide	0	762987	
000BC1D8	Star	4	Crawdaunt	45	Ghost	22A92C33	FA3E5CFF	31	25	24	31	27	31	Adaptability (H)	Hardy	♀	150	128	172	Knock Off	Crabhammer	Aqua Jet	Taunt	0	770520	
000BC78F	Star	4	Hakamo-o	45	Water	22A931EA	0DB3AB72	31	31	31	26	29	16	Overcoat (H)	Rash	♀	188	212	151	Dragon Claw	Screech	Close Combat	Metal Claw	0	771983	
000BF0E5	Star	4	Illumise	45	Normal	22A95B40	FD225BE3	31	31	16	28	7	31	Prankster (H)	Lax	♀	87	128	60	Bug Buzz	Giga Drain	Quick Attack	Attract	0	782565	
000C5500	Star	5	Dusknoir	75	Fire	22A9BF5B	F8485E89	15	31	31	31	7	31	Frisk (H)	Serious	♀	159	90	242	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	808192	
000C8A6C	Star	5	Snorlax	75	Ghost	22A9F4C7	EA2A4CEB	31	8	12	31	31	31	Thick Fat (2)	Serious	♂	42	132	180	Body Slam	Heavy Slam	Bite	Mud-Slap	0	821868	
000CA939	Star	3	Munchlax	35	Bug	22AA1394	38CB9E0A	0	31	31	31	27	3	Thick Fat (2)	Docile	♂	211	138	118	Bite	Covet	Flail	Defense Curl	0	829753	
000CBDC4	Star	4	Ribombee	45	Poison	22AA281F	6511C3D0	31	31	6	19	24	31	Sweet Veil (H)	Naive	♀	37	196	93	Pollen Puff	Moonblast	Bug Buzz	Stun Spore	0	835012	
000CDD19	Star	4	Mightyena	45	Bug	22AA4774	9D753BB4	31	31	20	7	27	31	Moxie (H)	Bashful	♀	148	191	179	Crunch	Play Rough	Howl	Take Down	0	843033	
000CFC7E	Star	5	Dusknoir	75	Fire	22AA66D9	42F0E431	21	31	31	31	30	31	Pressure (1)	Quirky	♀	123	131	30	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	851070	
000D261B	Star	5	Probopass	75	Ground	22AA9076	291F8FDE	31	19	25	31	31	31	Sturdy (1)	Lax	♀	57	157	48	Body Press	Power Gem	Flash Cannon	Harden	0	861723	
000D2977	Star	5	Golem-Normal	75	Dark	22AA93D2	835F259E	31	31	31	21	31	3	Sturdy (2)	Modest	♂	147	124	198	Earthquake	Stone Edge	Heavy Slam	Defense Curl	0	862583	
000D3D30	Star	3	Swadloon	35	Grass	22AAA78B	85922353	13	31	16	7	31	7	Chlorophyll (2)	Naive	♀	144	95	192	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	867632	
000D3E4C	Star	4	Piloswine	45	Ghost	22AAA8A7	945B329A	11	31	21	31	31	22	Snow Cloak (2)	Hardy	♀	198	230	166	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	867916	
000D5851	Star	4	Graveler-Normal	45	Electric	22AAC2AC	6E13C8D2	1	31	12	31	31	17	Sand Veil (H)	Naughty	♀	72	85	154	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	874577	
000D645B	Star	4	Graveler-Normal	45	Ground	22AACEB6	6F9FC95E	13	7	31	31	31	14	Sturdy (2)	Jolly	♂	161	69	35	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	877659	
000D6B5E	Star	4	Clefable	45	Fire	22AAD5B9	66C5C004	31	31	1	31	21	4	Magic Guard (2)	Lonely	♀	88	211	101	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	879454	
000D6D43	Star	3	Gurdurr	35	Steel	22AAD79E	17E9B128	17	31	31	13	5	27	Guts (1)	Careful	♂	171	42	118	Low Kick	Rock Slide	Scary Face	Slam	0	879939	
000D6F41	Star	3	Lombre	35	Bug	22AAD99C	11A7B766	7	30	31	30	19	31	Swift Swim (1)	Brave	♀	103	178	149	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	880449	
000D8E8C	Star	5	Conkeldurr	75	Ghost	22AAF8E7	1791B150	31	24	31	3	31	31	Sheer Force (2)	Modest	♂	184	90	124	Hammer Arm	Stone Edge	Superpower	Scary Face	0	888460	
000DB5CD	Star	4	Hakamo-o	45	Steel	22AB2028	1079B6B8	19	20	31	31	11	31	Overcoat (H)	Relaxed	♂	248	131	157	Dragon Claw	Screech	Close Combat	Metal Claw	0	898509	
