Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
00209480	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Rare Candy x1 	Rare Candy x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 	Spicy Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 	Bitter Herba Mystica x1 									Snorlax (5☆) (Star)	0	2135168	
0023B9F5	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Ability Capsule x1 	Exp. Candy L x1 	Big Mushroom x1 	Rare Candy x1 	Salty Herba Mystica x1 	Rare Candy x1 										Snorlax (5☆) (Star)	0	2341365	
00261C79	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Bug Tera Shard x1 	Pomeg Berry x3 	Duskull Fragment x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Rare Candy x1 	Big Mushroom x1 	Pomeg Berry x3 	Bitter Herba Mystica x1 										Dusknoir (5☆) (Star)	0	2497657	
00262216	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Fairy Tera Shard x2 	Fairy Tera Shard x2 (H)	Big Mushroom x1 	Balm Mushroom x1 	Sour Herba Mystica x1 	Fairy Tera Shard x1 	Health Feather x2 	Exp. Candy L x1 	Exp. Candy L x1 	Nugget x1 	Exp. Candy L x1 	Sour Herba Mystica x1 									Basculegion (5☆) (Star)	0	2499094	
0028948D	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 	Bottle Cap x1 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x1 										Mandibuzz (5☆) (Star)	0	2659469	
002C850D	Exp. Candy L x1 	Exp. Candy XL x1 	Jangmo-o Scales x5 	Resist Feather x3 	Jangmo-o Scales x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Salty Herba Mystica x1 	Resist Feather x2 	Resist Feather x2 	Rare Candy x1 	Lax Mint x1 	Bold Mint x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x1 										Kommo-o (5☆) (Star)	0	2917645	
002EC29E	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Vullaby Feather x2 	Health Feather x2 	Big Mushroom x1 	Fire Tera Shard x1 	Fire Tera Shard x1 	Sour Herba Mystica x1 	Balm Mushroom x1 	Salty Herba Mystica x1 	Rare Candy x1 	Pomeg Berry x3 									Mandibuzz (5☆) (Star)	0	3064478	
00335180	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Health Feather x2 	Bitter Herba Mystica x1 	Big Mushroom x1 	Pomeg Berry x3 	Health Feather x2 	Big Mushroom x1 	Pomeg Berry x3 	Sweet Herba Mystica x1 	Nugget x1 									Snorlax (5☆) (Star)	0	3363200	
0036CA88	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Big Mushroom x1 	Nugget x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Bitter Herba Mystica x1 	Poison Tera Shard x1 	Exp. Candy L x1 	Health Feather x2 									Mandibuzz (5☆) (Star)	0	3590792	
003855FF	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Munchlax Fang x2 	Pomeg Berry x3 	Health Feather x2 	Big Mushroom x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Salty Herba Mystica x1 									Snorlax (5☆) (Star)	0	3692031	
003AAA7F	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Nugget x1 	Sweet Herba Mystica x1 	Health Feather x2 	Ability Capsule x1 	Big Mushroom x1 	Balm Mushroom x1 	Nugget x1 	Exp. Candy L x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 									Mandibuzz (5☆) (Star)	0	3844735	
003E9006	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Sour Herba Mystica x1 	Rare Candy x1 	Munchlax Fang x2 	Health Feather x2 	Exp. Candy L x2 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x1 									Snorlax (5☆) (Star)	0	4100102	
003FCB7E	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Bottle Cap x1 	Exp. Candy L x1 	Exp. Candy L x2 	PP Up x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 										Mandibuzz (5☆) (Star)	0	4180862	
0043EDFE	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Spicy Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Salty Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 										Mandibuzz (5☆) (Star)	0	4451838	
0048767A	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Exp. Candy L x2 	Sour Herba Mystica x1 	Rare Candy x1 	Nugget x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Big Mushroom x1 										Snorlax (5☆) (Star)	0	4748922	
004A4900	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Health Feather x2 	Big Mushroom x1 	Sweet Herba Mystica x1 	Nugget x1 	Big Mushroom x1 	Big Mushroom x1 	Health Feather x2 	Sweet Herba Mystica x1 	Nugget x1 	Ability Capsule x1 									Snorlax (5☆) (Square)	0	4868352	
004AB307	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Flying Tera Shard x1 	Flying Tera Shard x1 	Pomeg Berry x3 	Nugget x1 	Balm Mushroom x1 	Nugget x1 									Basculegion (5☆) (Square)	0	4895495	
004D0F06	Exp. Candy L x1 	Exp. Candy XL x1 	Nosepass Fragment x5 	Resist Feather x3 	Nosepass Fragment x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Qualot Berry x3 	Resist Feather x2 	Exp. Candy L x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Resist Feather x2 	Big Pearl x1 	Nugget x1 	Resist Feather x2 	Impish Mint x1 									Probopass (5☆) (Star)	0	5050118	
004EA903	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Big Mushroom x1 	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Exp. Candy L x1 	Sour Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 	Flying Tera Shard x1 									Snorlax (5☆) (Star)	0	5155075	
0050ADEC	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Rare Candy x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Vullaby Feather x2 	Sweet Herba Mystica x1 	Pomeg Berry x3 	Big Mushroom x1 	Exp. Candy L x1 	Exp. Candy L x1 										Mandibuzz (5☆) (Star)	0	5287404	
0052E391	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Ability Capsule x1 	Nugget x1 	Salty Herba Mystica x1 	Health Feather x2 	Health Feather x2 	Pomeg Berry x3 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Bottle Cap x1 									Basculegion (5☆) (Star)	0	5432209	
0053A297	Exp. Candy L x1 	Exp. Candy XL x1 	Jangmo-o Scales x5 	Resist Feather x3 	Jangmo-o Scales x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Salty Herba Mystica x1 	Rare Candy x1 	Jangmo-o Scales x2 	Big Pearl x1 	Lax Mint x1 	Qualot Berry x3 	Exp. Candy L x1 	Exp. Candy L x2 	Salty Herba Mystica x1 										Kommo-o (5☆) (Star)	0	5481111	
0054D585	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Spicy Herba Mystica x1 	Health Feather x2 	Munchlax Fang x2 	Munchlax Fang x2 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 									Snorlax (5☆) (Star)	0	5559685	
005699F2	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	PP Up x1 	Rare Candy x1 	Psychic Tera Shard x1 	Big Mushroom x1 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Health Feather x2 	Exp. Candy L x1 	Bitter Herba Mystica x1 										Snorlax (5☆) (Star)	0	5675506	
005B2518	Exp. Candy L x1 	Exp. Candy XL x1 	Nosepass Fragment x5 	Resist Feather x3 	Nosepass Fragment x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Qualot Berry x3 	Relaxed Mint x1 	Nugget x1 	Nugget x1 	Resist Feather x2 	Big Pearl x1 	Rare Candy x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Pearl String x1 									Probopass (5☆) (Star)	0	5973272	
0061C811	Exp. Candy L x1 	Exp. Candy XL x1 	Poltchageist Powder x5 	Genius Feather x3 	Poltchageist Powder x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Ability Capsule x1 	Hondew Berry x3 	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 	Star Piece x1 	Exp. Candy L x2 	Rash Mint x1 	Bitter Herba Mystica x1 	Rash Mint x1 										Sinistcha (5☆) (Star)	0	6408209	
0061E398	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Sweet Herba Mystica x1 	Exp. Candy L x1 	Rare Candy x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	PP Up x1 	Nugget x1 	Exp. Candy L x1 	Exp. Candy L x1 	Ghost Tera Shard x1 									Mandibuzz (5☆) (Star)	0	6415256	
0065138B	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Big Mushroom x1 	Balm Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Big Mushroom x1 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Basculegion (5☆) (Star)	0	6624139	
00699E8E	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sour Herba Mystica x1 	Health Feather x2 	Bitter Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Sour Herba Mystica x1 	Ability Capsule x1 									Snorlax (5☆) (Star)	0	6921870	
006B09F7	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Health Feather x2 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Rare Candy x1 	Big Mushroom x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Snorlax (5☆) (Star)	0	7014903	
006CF586	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Rare Candy x1 	Sour Herba Mystica x1 	Health Feather x2 	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 	Exp. Candy L x2 	Munchlax Fang x2 	Rare Candy x1 	Bitter Herba Mystica x1 									Snorlax (5☆) (Square)	0	7140742	
006ECDEE	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Big Mushroom x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 										Mandibuzz (5☆) (Star)	0	7261678	
007AA888	Exp. Candy L x1 	Exp. Candy XL x1 	Bellsprout Vine x5 	Muscle Feather x3 	Bellsprout Vine x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Poison Tera Shard x1 	Exp. Candy L x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Adamant Mint x1 	Exp. Candy L x1 	Muscle Feather x2 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 									Victreebel (5☆) (Star)	0	8038536	
0082457C	Exp. Candy L x1 	Exp. Candy XL x1 	Yanma Spike x5 	Genius Feather x3 	Yanma Spike x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Bitter Herba Mystica x1 	Genius Feather x2 	Genius Feather x2 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Rash Mint x1 	Exp. Candy L x1 	Yanma Spike x2 	Genius Feather x2 										Yanmega (5☆) (Star)	0	8537468	
0084A8FC	Exp. Candy L x1 	Exp. Candy XL x1 	Bellsprout Vine x5 	Muscle Feather x3 	Bellsprout Vine x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Brave Mint x1 	Exp. Candy L x1 	Star Piece x1 	Spicy Herba Mystica x1 	Grass Tera Shard x1 	Star Piece x1 	Spicy Herba Mystica x1 	Brave Mint x1 	Exp. Candy L x2 										Victreebel (5☆) (Star)	0	8694012	
00887F00	Exp. Candy L x1 	Exp. Candy XL x1 	Nosepass Fragment x5 	Resist Feather x3 	Nosepass Fragment x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Salty Herba Mystica x1 	PP Up x1 	PP Up x1 	Salty Herba Mystica x1 	Resist Feather x2 	Exp. Candy L x2 	Qualot Berry x3 	Qualot Berry x3 	PP Up x1 									Probopass (5☆) (Star)	0	8945408	
008D1903	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Sour Herba Mystica x1 	Health Feather x2 	Munchlax Fang x2 	Exp. Candy L x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x2 	Munchlax Fang x2 	Health Feather x2 									Snorlax (5☆) (Square)	0	9246979	
008DB5FD	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Rare Candy x1 	Vullaby Feather x2 	Balm Mushroom x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x1 	PP Up x1 										Mandibuzz (5☆) (Star)	0	9287165	
00933303	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x2 	PP Up x1 	Fighting Tera Shard x1 	Exp. Candy L x1 	Rare Candy x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 									Basculegion (5☆) (Star)	0	9646851	
0097B007	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Exp. Candy L x2 	Health Feather x2 	Big Mushroom x1 	Vullaby Feather x2 	Exp. Candy L x2 	Exp. Candy L x1 	Sour Herba Mystica x1 	Pomeg Berry x3 	Spicy Herba Mystica x1 	Nugget x1 									Mandibuzz (5☆) (Star)	0	9940999	
0098C099	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Pomeg Berry x3 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Salty Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Salty Herba Mystica x1 	Nugget x1 	Health Feather x2 									Dusknoir (5☆) (Square)	0	10010777	
00A24EF8	Exp. Candy L x1 	Exp. Candy XL x1 	Lotad Leaf x5 	Clever Feather x3 	Lotad Leaf x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Grepa Berry x3 	Exp. Candy L x2 	Careful Mint x1 	Clever Feather x2 	Big Pearl x1 	Sour Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Ludicolo (5☆) (Star)	0	10637048	
00A319FE	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	PP Up x1 	Munchlax Fang x2 	Health Feather x2 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Pomeg Berry x3 	Salty Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 										Snorlax (5☆) (Square)	0	10689022	
00B2F690	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Exp. Candy L x2 	Big Mushroom x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Nugget x1 	Basculin Fang x2 	Exp. Candy L x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Big Mushroom x1 									Basculegion (5☆) (Star)	0	11728528	
00B40379	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Big Mushroom x1 	Pomeg Berry x3 	Salty Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Health Feather x2 	Bug Tera Shard x1 	Exp. Candy L x1 	Exp. Candy L x1 										Basculegion (5☆) (Star)	0	11797369	
00B46A78	Exp. Candy L x1 	Exp. Candy XL x1 	Yanma Spike x5 	Genius Feather x3 	Yanma Spike x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	PP Up x1 	Bottle Cap x1 	Exp. Candy L x2 	Nugget x1 	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Modest Mint x1 	Ghost Tera Shard x1 										Yanmega (5☆) (Star)	0	11823736	
00B6D61F	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Health Feather x2 	Sweet Herba Mystica x1 	Spicy Herba Mystica x1 	Pomeg Berry x3 	Bitter Herba Mystica x1 	Munchlax Fang x2 	Exp. Candy L x1 	Exp. Candy L x2 	Salty Herba Mystica x1 	Balm Mushroom x1 									Snorlax (5☆) (Star)	0	11982367	
00BBF174	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Dragon Tera Shard x2 	Dragon Tera Shard x2 (H)	Exp. Candy L x2 	Exp. Candy L x2 	Exp. Candy L x2 	Sour Herba Mystica x1 	Nugget x1 	Rare Candy x1 	Pomeg Berry x3 	Exp. Candy L x1 	Sweet Herba Mystica x1 										Snorlax (5☆) (Star)	0	12317044	
00BCD308	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Ability Capsule x1 	Exp. Candy L x2 	Bitter Herba Mystica x1 	Poison Tera Shard x1 	Bottle Cap x1 	Exp. Candy L x2 	Health Feather x2 	Poison Tera Shard x1 	Health Feather x2 	Salty Herba Mystica x1 									Basculegion (5☆) (Star)	0	12374792	
