Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
023BC716	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Fairy Tera Shard x2 	Fairy Tera Shard x2 (H)	Health Feather x2 	Sour Herba Mystica x1 	Salty Herba Mystica x1 	Exp. Candy L x1 	Big Mushroom x1 	Exp. Candy L x1 	Exp. Candy L x2 	Tynamo Slime x2 	Nugget x1 	Spicy Herba Mystica x1 									Eelektross (5☆) (Star)	0	37472022	
024A5313	Exp. Candy L x1 	Exp. Candy XL x1 	Dondozo Whisker x5 	Health Feather x3 	Dondozo Whisker x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	Big Mushroom x1 	Exp. Candy L x2 	Ice Tera Shard x1 	Exp. Candy L x1 	Big Mushroom x1 	Salty Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 									Dondozo (5☆) (Star)	0	38425363	
02645003	Exp. Candy L x1 	Exp. Candy XL x1 	Varoom Fume x5 	Muscle Feather x3 	Varoom Fume x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Comet Shard x1 	Kelpsy Berry x3 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Bottle Cap x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Muscle Feather x2 									Revavroom (5☆) (Star)	0	40128515	
0272BE7F	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Exp. Candy L x1 	Gastly Gas x2 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Steel Tera Shard x1 	Sweet Herba Mystica x1 	Balm Mushroom x1 	Big Mushroom x1 									Gengar (5☆) (Star)	0	41074303	
0278FB6E	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Foongus Spores x2 	Health Feather x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Health Feather x2 	Sour Herba Mystica x1 	Bottle Cap x1 	Sweet Herba Mystica x1 										Amoonguss (5☆) (Star)	0	41483118	
02810505	Exp. Candy L x1 	Exp. Candy XL x1 	Bombirdier Feather x5 	Muscle Feather x3 	Bombirdier Feather x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Spicy Herba Mystica x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Comet Shard x1 	Bombirdier Feather x2 	Rare Candy x1 	Exp. Candy L x1 	PP Up x1 	Star Piece x1 	Spicy Herba Mystica x1 									Bombirdier (5☆) (Star)	0	42009861	
02C29205	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Tynamo Slime x2 	Health Feather x2 	Exp. Candy L x1 	Health Feather x2 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 	Health Feather x2 	Health Feather x2 	Pomeg Berry x3 	Bitter Herba Mystica x1 									Eelektross (5☆) (Star)	0	46305797	
0311D61E	Exp. Candy L x1 	Exp. Candy XL x1 	Nacli Salt x5 	Resist Feather x3 	Nacli Salt x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Bold Mint x1 	Big Pearl x1 	Qualot Berry x3 	Exp. Candy L x2 	Resist Feather x2 	Exp. Candy L x1 	Salty Herba Mystica x1 	Qualot Berry x3 									Garganacl (5☆) (Star)	0	51500574	
031529FD	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Big Mushroom x1 	Salty Herba Mystica x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Exp. Candy L x2 	Balm Mushroom x1 	Salty Herba Mystica x1 	Health Feather x2 	Exp. Candy L x2 										Palafin (5☆) (Star)	0	51718653	
031A7C81	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Dark Tera Shard x1 	Sweet Herba Mystica x1 	Spicy Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 	Health Feather x2 									Blissey (5☆) (Star)	0	52067457	
031F6CF9	Exp. Candy L x1 	Exp. Candy XL x1 	Growlithe Fur x5 	Muscle Feather x3 	Growlithe Fur x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	PP Up x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Naughty Mint x1 										Arcanine (5☆) (Star)	0	52391161	
0374217A	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Exp. Candy L x1 	Salty Herba Mystica x1 	Gastly Gas x2 	Exp. Candy L x1 	Salty Herba Mystica x1 	Health Feather x2 	Health Feather x2 	Exp. Candy L x2 	Sweet Herba Mystica x1 										Gengar (5☆) (Star)	0	57942394	
0390C17D	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Big Mushroom x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Nugget x1 										Palafin (5☆) (Star)	0	59818365	
03ABC572	Exp. Candy L x1 	Exp. Candy XL x1 	Bombirdier Feather x5 	Muscle Feather x3 	Bombirdier Feather x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Spicy Herba Mystica x1 	Bombirdier Feather x2 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Kelpsy Berry x3 	Exp. Candy L x2 	Star Piece x1 	Spicy Herba Mystica x1 	Muscle Feather x2 										Bombirdier (5☆) (Square)	0	61588850	
03C34B6C	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Health Feather x2 	Rare Candy x1 	Bottle Cap x1 	Bitter Herba Mystica x1 	PP Up x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 										Amoonguss (5☆) (Star)	0	63130476	
03C54B80	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Ground Tera Shard x2 	Ground Tera Shard x2 (H)	Health Feather x2 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 	Ground Tera Shard x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Exp. Candy L x1 	Health Feather x2 	Exp. Candy L x2 	Ability Capsule x1 									Eelektross (5☆) (Star)	0	63261568	
03E965FE	Exp. Candy L x1 	Exp. Candy XL x1 	Snorunt Fur x5 	Health Feather x3 	Snorunt Fur x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x2 										Glalie (5☆) (Star)	0	65627646	
03F1AC85	Exp. Candy L x1 	Exp. Candy XL x1 	Snorunt Fur x5 	Health Feather x3 	Snorunt Fur x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Exp. Candy L x1 	Nugget x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Balm Mushroom x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 									Glalie (5☆) (Star)	0	66169989	
0415C70E	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Big Mushroom x1 	PP Up x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Salty Herba Mystica x1 										Palafin (5☆) (Star)	0	68536078	
043EFD7E	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Rare Candy x1 	Spicy Herba Mystica x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 										Blissey (5☆) (Star)	0	71236990	
04584198	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x2 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Pomeg Berry x3 	Exp. Candy L x1 	Happiny Dust x2 	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 									Blissey (5☆) (Square)	0	72892824	
04588B88	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Poison Tera Shard x1 	Big Mushroom x1 	Exp. Candy L x1 	PP Up x1 	Sweet Herba Mystica x1 									Eelektross (5☆) (Star)	0	72911752	
0466F48E	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	Happiny Dust x2 	Bitter Herba Mystica x1 	Fire Tera Shard x1 	Nugget x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 										Blissey (5☆) (Star)	0	73856142	
0473C084	Exp. Candy L x1 	Exp. Candy XL x1 	Dondozo Whisker x5 	Health Feather x3 	Dondozo Whisker x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Big Mushroom x1 	Exp. Candy L x2 	Health Feather x2 	Pomeg Berry x3 	Bitter Herba Mystica x1 	Exp. Candy L x2 	PP Up x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 									Dondozo (5☆) (Star)	0	74694788	
048305FA	Exp. Candy L x1 	Exp. Candy XL x1 	Nacli Salt x5 	Resist Feather x3 	Nacli Salt x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Nacli Salt x2 	Salty Herba Mystica x1 	Rock Tera Shard x1 	Rare Candy x1 	Exp. Candy L x1 	Rare Candy x1 	Big Pearl x1 										Garganacl (5☆) (Star)	0	75695610	
048B8175	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Big Mushroom x1 	Health Feather x2 	Sour Herba Mystica x1 	Big Mushroom x1 	Nugget x1 	Bitter Herba Mystica x1 	Health Feather x2 	Ability Capsule x1 	Sweet Herba Mystica x1 										Palafin (5☆) (Star)	0	76251509	
048C6B9A	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 	Bitter Herba Mystica x1 	Balm Mushroom x1 	Exp. Candy L x1 									Blissey (5☆) (Star)	0	76311450	
04A5A9F2	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 	PP Up x1 	Sweet Herba Mystica x1 										Palafin (5☆) (Star)	0	77965810	
04DC291A	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Exp. Candy L x1 	Rock Tera Shard x1 	Health Feather x2 	Spicy Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	PP Up x1 	Bitter Herba Mystica x1 										Gengar (5☆) (Star)	0	81537306	
04F73C81	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Exp. Candy L x1 	Big Mushroom x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 	Sour Herba Mystica x1 	Balm Mushroom x1 	Pomeg Berry x3 	Balm Mushroom x1 	Exp. Candy L x1 									Blissey (5☆) (Star)	0	83311745	
05260B80	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Health Feather x2 	Pomeg Berry x3 	Health Feather x2 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Health Feather x2 	Bitter Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 									Eelektross (5☆) (Star)	0	86379392	
05337B11	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Pomeg Berry x3 	Sour Herba Mystica x1 	Bitter Herba Mystica x1 	Rare Candy x1 	Big Mushroom x1 										Blissey (5☆) (Star)	0	87259921	
058F84F1	Exp. Candy L x1 	Exp. Candy XL x1 	Pawmi Fur x5 	Swift Feather x3 	Pawmi Fur x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Sweet Herba Mystica x1 	Pawmi Fur x2 	PP Up x1 	PP Up x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Swift Feather x2 	Rare Candy x1 	Nugget x1 										Pawmot (5☆) (Star)	0	93291761	
05A2E7F9	Exp. Candy L x1 	Exp. Candy XL x1 	Rufflet Feather x5 	Muscle Feather x3 	Rufflet Feather x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Muscle Feather x2 	Rare Candy x1 	Star Piece x1 	Nugget x1 	Rufflet Feather x2 	Bug Tera Shard x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 										Braviary (5☆) (Star)	0	94562297	
05A2FD7E	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Exp. Candy L x1 	Sweet Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Health Feather x2 	Spicy Herba Mystica x1 	Happiny Dust x2 	Sour Herba Mystica x1 	Exp. Candy L x2 										Blissey (5☆) (Star)	0	94567806	
05B0E188	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Health Feather x2 	PP Up x1 	Health Feather x2 	Spicy Herba Mystica x1 	Tynamo Slime x2 	Health Feather x2 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 									Eelektross (5☆) (Star)	0	95478152	
05C13E6D	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Exp. Candy L x1 	Sour Herba Mystica x1 	Health Feather x2 	Spicy Herba Mystica x1 	Big Mushroom x1 	Steel Tera Shard x1 	Spicy Herba Mystica x1 	Nugget x1 	Gastly Gas x2 										Gengar (5☆) (Star)	0	96550509	
05DC416C	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Big Mushroom x1 	Ability Capsule x1 	Salty Herba Mystica x1 	Spicy Herba Mystica x1 	Bitter Herba Mystica x1 	Health Feather x2 	Bitter Herba Mystica x1 	Health Feather x2 	Exp. Candy L x1 										Palafin (5☆) (Star)	0	98320748	
05EC11F3	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	Ability Capsule x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Salty Herba Mystica x1 	Health Feather x2 	Big Mushroom x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Blissey (5☆) (Star)	0	99357171	
05F38101	Exp. Candy L x1 	Exp. Candy XL x1 	Finizen Mucus x5 	Health Feather x3 	Finizen Mucus x3 (C)	Ice Tera Shard x2 	Ice Tera Shard x2 (H)	Big Mushroom x1 	Big Mushroom x1 	Pomeg Berry x3 	PP Up x1 	Salty Herba Mystica x1 	Big Mushroom x1 	Spicy Herba Mystica x1 	PP Up x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 									Palafin (5☆) (Star)	0	99844353	
